STAGE 1 Parameters:
Fuel mass (kg): 5600
Dry mass (kg): 1200
Fuel fract: 0.8235294117647058
Isp @ SL: 226
Burn time (sec): 137.90398151982043
Thrust (N): 90030.294
dM/dt: 40.60796460176991

TIME,HEIGHT,VELOCITY,MASS,THRUST,DRAG,GAMMA,RANGE
19.800,598.072,65.585,6495.962,90387.862,221.256,1.481,31.194,
19.900,604.624,65.997,6491.902,90387.842,223.882,1.480,31.788,
20.000,611.217,66.410,6487.841,90387.823,226.527,1.479,32.389,
20.100,617.851,66.824,6483.780,90387.803,229.191,1.479,32.999,
20.200,624.525,67.239,6479.719,90387.784,231.873,1.478,33.616,
20.300,631.241,67.654,6475.658,90387.764,234.573,1.478,34.241,
20.400,637.997,68.070,6471.598,90387.745,237.292,1.477,34.874,
20.500,644.795,68.488,6467.537,90387.726,240.029,1.476,35.515,
20.600,651.634,68.906,6463.476,90387.706,242.784,1.476,36.164,
20.700,658.514,69.325,6459.415,90387.687,245.559,1.475,36.822,
20.800,665.436,69.745,6455.354,90387.668,248.352,1.475,37.487,
20.900,672.399,70.166,6451.294,90387.649,251.163,1.474,38.161,
21.000,679.403,70.588,6447.233,90387.630,253.993,1.473,38.843,
21.100,686.449,71.010,6443.172,90387.612,256.842,1.473,39.533,
21.200,693.537,71.434,6439.111,90387.593,259.709,1.472,40.232,
21.300,700.667,71.858,6435.050,90387.574,262.596,1.472,40.940,
21.400,707.838,72.284,6430.990,90387.556,265.500,1.471,41.656,
21.500,715.052,72.710,6426.929,90387.538,268.424,1.470,42.380,
21.600,722.307,73.137,6422.868,90387.519,271.367,1.470,43.113,
21.700,729.604,73.565,6418.807,90387.501,274.328,1.469,43.856,
21.800,736.944,73.994,6414.746,90387.483,277.308,1.469,44.606,
21.900,744.326,74.424,6410.686,90387.465,280.307,1.468,45.366,
22.000,751.750,74.854,6406.625,90387.448,283.324,1.467,46.135,
22.100,759.217,75.286,6402.564,90387.430,286.361,1.467,46.912,
22.200,766.726,75.719,6398.503,90387.413,289.416,1.466,47.699,
22.300,774.277,76.152,6394.442,90387.395,292.491,1.465,48.494,
22.400,781.872,76.587,6390.382,90387.378,295.584,1.465,49.299,
22.500,789.509,77.022,6386.321,90387.361,298.696,1.464,50.113,
22.600,797.189,77.458,6382.260,90387.344,301.828,1.464,50.937,
22.700,804.912,77.895,6378.199,90387.328,304.978,1.463,51.770,
22.800,812.678,78.333,6374.138,90387.311,308.147,1.462,52.612,
22.900,820.486,78.772,6370.078,90387.295,311.335,1.462,53.464,
23.000,828.339,79.212,6366.017,90387.279,314.543,1.461,54.325,
23.100,836.234,79.653,6361.956,90387.263,317.769,1.461,55.196,
23.200,844.173,80.095,6357.895,90387.247,321.014,1.460,56.076,
23.300,852.155,80.537,6353.834,90387.231,324.279,1.459,56.966,
23.400,860.180,80.981,6349.774,90387.216,327.562,1.459,57.866,
23.500,868.249,81.425,6345.713,90387.200,330.865,1.458,58.776,
23.600,876.362,81.871,6341.652,90387.185,334.187,1.458,59.696,
23.700,884.519,82.317,6337.591,90387.170,337.528,1.457,60.626,
23.800,892.719,82.764,6333.530,90387.156,340.887,1.456,61.566,
23.900,900.963,83.213,6329.470,90387.141,344.267,1.456,62.515,
24.000,909.252,83.662,6325.409,90387.127,347.665,1.455,63.476,
24.100,917.584,84.112,6321.348,90387.113,351.082,1.455,64.446,
24.200,925.960,84.563,6317.287,90387.099,354.519,1.454,65.427,
24.300,934.381,85.015,6313.226,90387.085,357.974,1.453,66.418,
24.400,942.846,85.468,6309.166,90387.072,361.449,1.453,67.419,
24.500,951.356,85.921,6305.105,90387.059,364.943,1.452,68.431,
24.600,959.910,86.376,6301.044,90387.046,368.456,1.451,69.454,
24.700,968.508,86.832,6296.983,90387.033,371.988,1.451,70.487,
24.800,977.151,87.288,6292.922,90387.021,375.540,1.450,71.531,
24.900,985.839,87.746,6288.862,90387.009,379.111,1.450,72.585,
25.000,994.572,88.205,6284.801,90386.997,382.700,1.449,73.651,
25.100,1003.349,88.664,6280.740,90386.985,386.309,1.448,74.727,
25.200,1012.172,89.124,6276.679,90386.974,389.937,1.448,75.815,
25.300,1021.040,89.586,6272.618,90386.963,393.585,1.447,76.913,
25.400,1029.953,90.048,6268.558,90386.952,397.251,1.447,78.022,
25.500,1038.911,90.511,6264.497,90386.942,400.937,1.446,79.143,
25.600,1047.914,90.975,6260.436,90386.931,404.642,1.445,80.275,
25.700,1056.963,91.440,6256.375,90386.921,408.366,1.445,81.418,
25.800,1066.057,91.907,6252.315,90386.912,412.109,1.444,82.573,
25.900,1075.197,92.374,6248.254,90386.902,415.871,1.444,83.739,
26.000,1084.383,92.842,6244.193,90386.893,419.653,1.443,84.916,
26.100,1093.614,93.310,6240.132,90386.885,423.453,1.442,86.105,
26.200,1102.891,93.780,6236.071,90386.876,427.273,1.442,87.306,
26.300,1112.214,94.251,6232.011,90386.868,431.112,1.441,88.518,
26.400,1121.583,94.723,6227.950,90386.860,434.970,1.441,89.743,
26.500,1130.998,95.196,6223.889,90386.853,438.847,1.440,90.979,
26.600,1140.459,95.669,6219.828,90386.846,442.743,1.439,92.227,
26.700,1149.967,96.144,6215.767,90386.839,446.658,1.439,93.487,
26.800,1159.521,96.620,6211.707,90386.833,450.593,1.438,94.759,
26.900,1169.121,97.096,6207.646,90386.827,454.546,1.437,96.043,
27.000,1178.768,97.574,6203.585,90386.821,458.519,1.437,97.339,
27.100,1188.461,98.053,6199.524,90386.816,462.510,1.436,98.648,
27.200,1198.201,98.532,6195.463,90386.811,466.520,1.436,99.969,
27.300,1207.988,99.013,6191.403,90386.807,470.550,1.435,101.302,
27.400,1217.821,99.494,6187.342,90386.803,474.598,1.434,102.648,
27.500,1227.702,99.976,6183.281,90386.799,478.666,1.434,104.006,
27.600,1237.630,100.460,6179.220,90386.795,482.752,1.433,105.377,
27.700,1247.604,100.944,6175.159,90386.793,486.857,1.433,106.761,
27.800,1257.626,101.430,6171.099,90386.790,490.982,1.432,108.157,
27.900,1267.695,101.916,6167.038,90386.788,495.125,1.431,109.566,
28.000,1277.811,102.403,6162.977,90386.786,499.287,1.431,110.988,
28.100,1287.975,102.891,6158.916,90386.785,503.467,1.430,112.424,
28.200,1298.187,103.381,6154.855,90386.784,507.667,1.430,113.872,
28.300,1308.446,103.871,6150.795,90386.784,511.885,1.429,115.333,
28.400,1318.752,104.362,6146.734,90386.784,516.123,1.428,116.807,
28.500,1329.107,104.854,6142.673,90386.784,520.378,1.428,118.295,
